BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,MeanDiff,VarianceDiff,TotalRows
1,ResNet50,Height,OOD,8,3,0.12296681949999999,0.047592510521225796,20000
4,ResNet50,Height,IID,8,4,0.011792958,0.01193569832649662,20000
1,ResNet50,Height,OOD,16,1,0.203349183,0.054718529915178137,20000
1,VGG19,Height,ADV,8,4,-0.028984893,0.013433575733355175,20000
5,ResNet50,Height,ADV,16,0,-0.044033761500000004,0.06274922098524509,20000
3,ResNet50,Ratio,ADV,8,4,-0.12825872800000002,0.03400428800863229,20000
4,VGG19,Height,IID,2,4,-0.010313770000000002,0.00047398839763698026,20000
2,ResNet50,Ratio,COV,8,2,-0.0003104125000000026,0.0028305963647030676,20000
4,VGG19,Ratio,ADV,2,0,0.011122152500000001,0.0003698825297682341,20000
5,ResNet50,Ratio,IID,4,4,0.004661132499999999,0.0021057353865217648,20000
3,ResNet50,Height,OOD,2,3,0.037749368,0.0061470388963754275,20000
1,ResNet50,Ratio,ADV,4,1,0.009584644999999998,0.0028770710645972058,20000
2,ResNet50,Height,IID,4,3,-0.0408605725,0.009091169622278341,20000
3,VGG19,Height,ADV,8,3,-0.331835932,0.05924915992216742,20000
5,ResNet50,Height,OOD,8,2,0.148562764,0.08386568259424984,20000
1,ResNet50,Height,COV,2,0,0.0009199505000000015,0.0011559430116931388,20000
2,ResNet50,Height,ADV,16,4,0.064157288,0.07349215534626262,20000
1,VGG19,Ratio,IID,2,3,-0.007126731500000002,0.00012100738084094845,20000
2,VGG19,Height,OOD,2,1,0.040250276,0.005380211637515693,20000
3,VGG19,Ratio,COV,4,2,3.333399999999766e-05,0.0002184360628175864,20000
1,VGG19,Height,OOD,16,1,0.11004542000000002,0.05516833166493671,20000
5,ResNet50,Ratio,ADV,2,0,0.029349827,0.003013596649852567,20000
5,ResNet50,Ratio,OOD,16,2,-0.3682997845,0.06855360366664176,20000
4,VGG19,Height,ADV,4,0,-0.0307959635,0.00843495163320335,20000
5,VGG19,Ratio,COV,8,3,0.0019136969999999959,0.0005082026149429338,20000
4,VGG19,Ratio,IID,4,4,0.007733859499999997,0.0006582337873386285,20000
5,VGG19,Ratio,COV,8,2,-0.008599376500000002,0.002326515040698287,20000
